MCSweeps totalmoves Epair avg_Epair Ebond avg_Ebond Eangle avg_Eangle Etot avg_Etot time
10 770000 0 0 0 0 -685 0 -675 0 56.517733501999999 
20 1470000 0 0 0 0 -685 0 -671 0 108.387298937 
30 2170000 0 0 0 0 -685 0 -672 0 160.62051268299999 
40 2870000 0 0 0 0 -685 0 -668 0 213.00845123900001 
50 3570000 0 0 0 0 -685 0 -669 0 265.53737653000002 
60 4270000 0 0 0 0 -669 -669 -660 -669 318.31192741400002 
70 4970000 0 0 0 0 -669 -669 -672 -669 371.203269879 
80 5670000 0 0 0 0 -669 -669 -665 -669 423.87947705800002 
90 6370000 0 0 0 0 -669 -669 -674 -669 476.27917718100002 
100 7070000 0 0 0 0 -669 -669 -670 -669 528.93546202599998 
110 7770000 0 0 0 0 -670 -669.5 -685 -669.5 582.07775841499995 
120 8470000 0 0 0 0 -670 -669.5 -682 -669.5 634.87720882799999 
130 9170000 0 0 0 0 -670 -669.5 -671 -669.5 687.84536759900004 
140 9870000 0 0 0 0 -670 -669.5 -668 -669.5 740.42443229699995 
150 10570000 0 0 0 0 -670 -669.5 -670 -669.5 792.908384189 
160 11270000 0 0 0 0 -670 -669.66666666666663 -667 -669.66666666666663 845.30614437199995 
170 11970000 0 0 0 0 -670 -669.66666666666663 -668 -669.66666666666663 897.65311169200004 
180 12670000 0 0 0 0 -670 -669.66666666666663 -681 -669.66666666666663 950.14892215600003 
190 13370000 0 0 0 0 -670 -669.66666666666663 -674 -669.66666666666663 1002.497476463 
200 14070000 0 0 0 0 -670 -669.66666666666663 -678 -669.66666666666663 1054.7626590469999 
210 14770000 0 0 0 0 -678 -671.75 -688 -671.75 1107.1413589199999 
220 15470000 0 0 0 0 -678 -671.75 -671 -671.75 1158.8224408900001 
230 16170000 0 0 0 0 -678 -671.75 -682 -671.75 1210.6518112399999 
240 16870000 0 0 0 0 -678 -671.75 -686 -671.75 1262.4497715289999 
250 17570000 0 0 0 0 -678 -671.75 -682 -671.75 1314.31524341 
260 18270000 0 0 0 0 -682 -673.79999999999995 -672 -673.79999999999995 1366.6065312999999 
270 18970000 0 0 0 0 -682 -673.79999999999995 -685 -673.79999999999995 1418.9157519309999 
280 19670000 0 0 0 0 -682 -673.79999999999995 -679 -673.79999999999995 1471.273319078 
290 20370000 0 0 0 0 -682 -673.79999999999995 -683 -673.79999999999995 1523.6613094280001 
